id,login,company,created_at,type,fake,deleted,long,lat,country_code,state,city,location
184,xdissent,\N,6/26/09 22:56,USR,0,0,0,0,\N,\N,\N,"East Nashville, TN"
185,vnwildman,\N,12/3/10 23:48,USR,0,0,108.277199,14.058324,vn,\N,\N,Vietnam
186,Bronsa,#NAME?,11/5/09 18:00,USR,0,0,-0.1277583,51.5073509,gb,Greater London,London,London
187,smoens,\N,1/23/12 14:48,USR,0,0,0,0,\N,\N,\N,"Leuven, Belgium"
188,YPIDIFSI,\N,8/3/12 16:09,USR,1,1,\N,\N,\N,\N,\N,\N
189,hmason,Fast Forward Labs,7/22/08 15:55,USR,0,0,-74.0059728,40.7127753,us,New York,New York,"New York, NY"
190,jkonttinen,\N,6/24/12 9:27,USR,0,0,0,0,\N,\N,\N,\N
191,6a68,#NAME?,6/17/09 16:11,USR,0,0,0,0,\N,\N,\N,Meowlifornia
192,QJEFSRVW,\N,8/3/12 16:09,USR,1,1,\N,\N,\N,\N,\N,\N
193,arunpersaud,\N,10/3/10 18:54,USR,0,0,0,0,\N,\N,\N,\N
194,samtubbax,Lunar Gravity,8/16/11 8:16,USR,0,0,0,0,\N,\N,\N,\N
195,GYRGIJPL,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
196,dave007,\N,12/28/09 12:05,USR,0,0,0,0,\N,\N,\N,\N
197,gcymbalski,\N,7/14/11 19:05,USR,0,0,-122.3320708,47.6062095,us,King County,Seattle,"Seattle, WA"
198,SQiShER,Europace AG,8/19/10 12:36,USR,0,0,13.404954,52.5200066,de,Berlin,Berlin,"Berlin, Germany"
199,ericpaulbishop,\N,4/24/10 19:35,USR,0,0,-71.0588801,42.3600825,us,Suffolk County,Boston,"Boston, MA"
200,jman01,\N,2/23/12 2:26,USR,0,0,0,0,\N,\N,\N,\N
201,Jehreg,\N,12/29/09 18:09,USR,0,0,0,0,\N,\N,\N,\N
202,shane-tomlinson,Mozilla,6/13/11 20:11,USR,0,0,-0.1277583,51.5073509,gb,Greater London,London,"London, UK"
203,seanmonstar,#NAME?,2/3/09 17:09,USR,0,0,-119.4179324,36.778261,us,California,\N,California
204,Roejames12,\N,3/14/11 15:37,USR,0,1,\N,\N,\N,\N,\N,\N
205,frasten,\N,7/11/09 22:56,USR,0,0,10.2118019,45.5415526,it,Brescia,Brescia,"Brescia, Italy"
206,bnlawrence,NCAS,5/30/12 8:09,USR,0,0,0,0,\N,\N,\N,\N
207,PKNSUCLR,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
208,alexgorbatchev,\N,3/21/09 21:35,USR,0,0,-122.4194155,37.7749295,us,San Francisco County,San Francisco,"San Francisco, CA"
209,jsaarela,\N,6/4/12 7:13,USR,0,0,0,0,\N,\N,\N,\N
210,Hashcode,\N,9/13/11 3:43,USR,0,0,-118.2436849,34.0522342,us,Los Angeles County,Los Angeles,"Los Angeles, CA"
212,joselee,\N,4/13/12 8:38,USR,0,0,0,0,\N,\N,\N,\N
214,luisibanez,"Google, Inc.",4/5/10 20:47,USR,0,0,-74.0059728,40.7127753,us,New York,New York,"New York, NY"
215,whitten,\N,12/5/11 19:59,USR,0,0,-79.0192997,35.7595731,us,North Carolina,\N,"North Carolina, USA"
216,fredwu,Wuit,10/31/08 3:34,USR,0,0,0,0,\N,\N,\N,"Melbourne, Australia (& Shanghai, China)"
217,lloyd,Facebook,12/9/08 18:59,USR,0,0,-104.990251,39.7392358,us,Denver County,Denver,"Denver, Colorado"
218,oipn4e2,Shanghai Jiao Tong University,2/4/10 0:34,USR,0,1,\N,\N,\N,\N,\N,"Shanghai, China"
219,fmpwizard,\N,3/12/09 14:41,USR,0,0,0,0,\N,\N,\N,"Hendersonville, NC"
224,lehoff,\N,1/30/10 20:10,USR,0,0,0,0,\N,\N,\N,\N
225,eriksoe,Trifork,1/14/10 2:10,USR,0,0,10.203921,56.162939,dk,\N,Aarhus,Aarhus
226,LGVWLQAR,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
227,XSMBKHQF,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
229,geoffeg,Answers,1/20/10 15:59,USR,0,0,-90.1994042,38.6270025,us,Missouri,St. Louis,"St. Louis, MO"
230,laforge49,OODAsystems,6/11/11 3:51,USR,0,0,-73.9441579,40.6781784,us,Kings County,\N,"Brooklyn, NY"
231,studiomaestro,Studiomaestro.org,4/3/10 1:00,USR,0,0,0,0,\N,\N,\N,"Nakano,Tokyo"
232,hide-nowhere,\N,12/26/11 7:38,USR,0,0,0,0,\N,\N,\N,\N
233,machisuji,OpenProject GmbH,11/27/09 12:47,USR,0,0,0,0,\N,\N,\N,"Durham, England, UK"
234,carueda,MBARI,1/10/11 22:27,USR,0,0,-95.712891,37.09024,us,\N,\N,USA
235,RKMFYBQR,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
236,IPLBFXAI,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
237,ACMCGQAN,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
238,urbanski,\N,3/8/10 13:21,USR,0,0,-114.3352652,48.4106373,us,Flathead County,Whitefish,"Whitefish, Montana"
239,griffithchaffee,\N,12/26/11 14:24,USR,0,0,0,0,\N,\N,\N,Sedona Arizona
240,kanishkaganguly,"University of Maryland, College Park",3/25/12 4:17,USR,0,0,0,0,\N,\N,\N,\N
242,howiworkdaily,\N,4/28/08 22:51,USR,0,0,0,0,\N,\N,\N,NYC/NJ
243,timepilot,\N,4/25/09 15:27,USR,0,0,0,0,\N,\N,\N,\N
244,ChrisRicca,\N,6/16/08 13:55,USR,0,0,-73.9441579,40.6781784,us,Kings County,\N,"Brooklyn, NY"
245,jefftriplett,#NAME?,1/30/09 16:42,USR,0,0,-95.2352501,38.9716689,us,Douglas County,Lawrence,"Lawrence, KS"
246,jasonmelgoza,#NAME?,5/29/09 16:20,USR,0,0,0,0,\N,\N,\N,"Santa Maria, California"
247,philippWassibauer,gidsy.com,9/2/08 9:52,USR,0,0,13.404954,52.5200066,de,Berlin,Berlin,"Berlin, Germany"
